Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock",Q,N,N,100.0
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock,G,N,N,100.0
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0
AAON,"AAON, Inc.","AAON, Inc. - Common Stock",Q,N,N,100.0
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100.0
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100.0
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock,Q,N,N,100.0
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock",S,N,N,100.0
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0
ACET,Aceto Corporation,Aceto Corporation - Common Stock,Q,N,N,100.0
ACFN,"Acorn Energy, Inc.","Acorn Energy, Inc. - Common Stock",G,N,N,100.0
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock,Q,N,N,100.0
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0
ACHN,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0
ACNB,ACNB Corporation,ACNB Corporation - Common Stock,S,N,N,100.0
ACOR,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100.0
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
ACST,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100.0
ACTG,Acacia Research Corporation,Acacia Research Corporation - Common Stock,Q,N,N,100.0
ACUR,"Acura Pharmaceuticals, Inc.","Acura Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0
ACWI,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund,G,N,N,100.0
ACWX,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund,G,N,N,100.0
ADBE,Adobe Systems Incorporated,Adobe Systems Incorporated - Common Stock,Q,N,N,100.0
ADES,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. - Common Stock",S,N,E,100.0
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock",Q,N,N,100.0
ADMA,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock,S,N,N,100.0
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock",Q,N,N,100.0
